Name	taxID	speciesTaxID	assembly_level	seq_rel_date	asm_name	FileName	DownLoadDate	NumberTotalContigs	NumberKeptContigs	NumberRemovedContigs
Azorhizobium caulinodans ORS 571 strain_ORS 571	438753	7	COMPLETE	2007/10/16	ASM1052v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Azorhizobium caulinodans ORS 571 strain_ORS 571_ASM1052v1.fna.gz	2019-05-20T15:16:53.964063+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola str. Sg (Schizaphis graminum) strain_Sg	198804	9	COMPLETE	2002/07/02	ASM736v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. Sg (Schizaphis graminum) strain_Sg_ASM736v1.fna.gz	2019-05-20T15:16:56.500519+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola str. Bp (Baizongia pistaciae) strain_Bp (Baizongia pistaciae)	224915	9	COMPLETE	2003/01/29	ASM772v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. Bp (Baizongia pistaciae) strain_Bp (Baizongia pistaciae)_ASM772v1.fna.gz	2019-05-20T15:16:59.010407+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola str. APS (Acyrthosiphon pisum) strain_APS	107806	9	COMPLETE	2004/05/11	ASM960v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. APS (Acyrthosiphon pisum) strain_APS_ASM960v1.fna.gz	2019-05-20T15:17:01.204287+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum) strain_Tuc7	561501	9	COMPLETE	2009/01/06	ASM2106v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum) strain_Tuc7_ASM2106v1.fna.gz	2019-05-20T15:17:03.399969+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola str. 5A (Acyrthosiphon pisum) strain_5A	563178	9	COMPLETE	2009/01/06	ASM2108v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. 5A (Acyrthosiphon pisum) strain_5A_ASM2108v1.fna.gz	2019-05-20T15:17:05.568903+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola BCc strain_BCc	372461	9	COMPLETE	2006/10/18	ASM9096v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola BCc strain_BCc_ASM9096v1.fna.gz	2019-05-20T15:17:07.730014+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola str. LL01 (Acyrthosiphon pisum) strain_LL01	713603	9	COMPLETE	2010/11/04	ASM18322v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. LL01 (Acyrthosiphon pisum) strain_LL01_ASM18322v1.fna.gz	2019-05-20T15:17:09.997770+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum) strain_TLW03	713602	9	COMPLETE	2010/11/04	ASM18324v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum) strain_TLW03_ASM18324v1.fna.gz	2019-05-20T15:17:12.190575+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola str. JF99 (Acyrthosiphon pisum) strain_JF99	713601	9	COMPLETE	2010/11/04	ASM18328v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. JF99 (Acyrthosiphon pisum) strain_JF99_ASM18328v1.fna.gz	2019-05-20T15:17:14.371358+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola str. JF98 (Acyrthosiphon pisum) strain_JF98	713600	9	COMPLETE	2010/11/04	ASM18330v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. JF98 (Acyrthosiphon pisum) strain_JF98_ASM18330v1.fna.gz	2019-05-20T15:17:16.552372+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola (Cinara tujafilina) 	261317	9	COMPLETE	2011/06/09	ASM21763v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola (Cinara tujafilina) _ASM21763v1.fna.gz	2019-05-20T15:17:18.718307+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola str. Ak (Acyrthosiphon kondoi) strain_Ak	1005090	9	COMPLETE	2011/09/07	ASM22544v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. Ak (Acyrthosiphon kondoi) strain_Ak_ASM22544v1.fna.gz	2019-05-20T15:17:20.986113+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola str. Ua (Uroleucon ambrosiae) strain_Ua	1005057	9	COMPLETE	2011/09/07	ASM22546v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. Ua (Uroleucon ambrosiae) strain_Ua_ASM22546v1.fna.gz	2019-05-20T15:17:23.172550+02:00[Europe/Berlin]	0	0	0
